date,station_code,period_window,year,month,dow,PM2.5,NO2,CO,NO,NOX_final,PM2.5_AB_imputed,NO2_AB_imputed,CO_AB_imputed,NO_AB_imputed,NOX_final_AB_imputed
2024-03-05 11:00:00,CE,baseline_MarJul2024,2024,3,1,51.0,,,,,False,False,False,False,False
2024-03-05 12:00:00,CE,baseline_MarJul2024,2024,3,1,29.0,,,,,False,False,False,False,False
2024-03-05 13:00:00,CE,baseline_MarJul2024,2024,3,1,24.0,,,,,False,False,False,False,False
2024-03-05 14:00:00,CE,baseline_MarJul2024,2024,3,1,16.0,,,,,False,False,False,False,False
2024-03-05 15:00:00,CE,baseline_MarJul2024,2024,3,1,14.0,,,,,False,False,False,False,False
2024-03-05 16:00:00,CE,baseline_MarJul2024,2024,3,1,13.0,,,,,False,False,False,False,False
2024-03-05 17:00:00,CE,baseline_MarJul2024,2024,3,1,15.0,,,,,False,False,False,False,False
2024-03-05 18:00:00,CE,baseline_MarJul2024,2024,3,1,19.0,,,,,False,False,False,False,False
2024-03-05 19:00:00,CE,baseline_MarJul2024,2024,3,1,20.0,,,,,False,False,False,False,False
2024-03-05 20:00:00,CE,baseline_MarJul2024,2024,3,1,20.0,,,,,False,False,False,False,False
2024-03-05 21:00:00,CE,baseline_MarJul2024,2024,3,1,19.0,,,,,True,False,False,False,False
2024-03-05 22:00:00,CE,baseline_MarJul2024,2024,3,1,19.0,,,,,False,False,False,False,False
2024-03-05 23:00:00,CE,baseline_MarJul2024,2024,3,1,19.0,,,,,False,False,False,False,False
2024-03-06 00:00:00,CE,baseline_MarJul2024,2024,3,2,22.0,,,,,True,False,False,False,False
2024-03-06 01:00:00,CE,baseline_MarJul2024,2024,3,2,24.825000000000003,,,,,True,False,False,False,False
2024-03-06 02:00:00,CE,baseline_MarJul2024,2024,3,2,26.0,,,,,False,False,False,False,False
2024-03-06 03:00:00,CE,baseline_MarJul2024,2024,3,2,37.0,,,,,False,False,False,False,False
2024-03-06 04:00:00,CE,baseline_MarJul2024,2024,3,2,45.0,,,,,False,False,False,False,False
2024-03-06 05:00:00,CE,baseline_MarJul2024,2024,3,2,50.0,,,,,False,False,False,False,False
2024-03-06 06:00:00,CE,baseline_MarJul2024,2024,3,2,54.0,,,,,False,False,False,False,False
2024-03-06 07:00:00,CE,baseline_MarJul2024,2024,3,2,58.0,,,,,False,False,False,False,False
2024-03-06 08:00:00,CE,baseline_MarJul2024,2024,3,2,61.0,,,,,False,False,False,False,False
2024-03-06 09:00:00,CE,baseline_MarJul2024,2024,3,2,41.0,,,,,False,False,False,False,False
2024-03-06 10:00:00,CE,baseline_MarJul2024,2024,3,2,31.0,,,,,True,True,True,True,True
2024-03-06 11:00:00,CE,baseline_MarJul2024,2024,3,2,32.955,,,,,True,True,True,True,True
2024-03-06 12:00:00,CE,baseline_MarJul2024,2024,3,2,32.4,,,,,True,True,True,True,True
2024-03-06 13:00:00,CE,baseline_MarJul2024,2024,3,2,62.0,,,,,False,False,False,False,False
2024-03-06 14:00:00,CE,baseline_MarJul2024,2024,3,2,63.0,,,,,False,False,False,False,False
2024-03-06 15:00:00,CE,baseline_MarJul2024,2024,3,2,46.0,,,,,False,False,False,False,False
2024-03-06 16:00:00,CE,baseline_MarJul2024,2024,3,2,38.0,,,,,False,False,False,False,False
2024-03-06 17:00:00,CE,baseline_MarJul2024,2024,3,2,33.0,,,,,False,False,False,False,False
