period_window,day,co_max8h
baseline_MarJun2024,2024-06-21,0.6484375
baseline_MarJun2024,2024-06-22,0.9100000000000001
baseline_MarJun2024,2024-06-23,0.931875
baseline_MarJun2024,2024-06-24,0.81375
baseline_MarJun2024,2024-06-25,0.700625
baseline_MarJun2024,2024-06-26,0.72375
baseline_MarJun2024,2024-06-27,0.713125
baseline_MarJun2024,2024-06-28,0.78125
baseline_MarJun2024,2024-06-29,0.71875
baseline_MarJun2024,2024-06-30,0.55875
current_MarJun2025,2025-03-01,1.0764583333333333
current_MarJun2025,2025-03-02,1.01375
current_MarJun2025,2025-03-03,1.1325
current_MarJun2025,2025-03-04,1.2721875
current_MarJun2025,2025-03-05,1.6687500000000002
current_MarJun2025,2025-03-06,0.8550000000000001
current_MarJun2025,2025-03-07,1.38125
current_MarJun2025,2025-03-08,1.3599999999999999
current_MarJun2025,2025-03-09,0.911875
current_MarJun2025,2025-03-10,1.0425
current_MarJun2025,2025-03-11,1.23125
current_MarJun2025,2025-03-12,1.234375
current_MarJun2025,2025-03-13,1.3937499999999998
current_MarJun2025,2025-03-14,1.46125
current_MarJun2025,2025-03-15,0.94375
current_MarJun2025,2025-03-16,0.598125
current_MarJun2025,2025-03-17,0.919375
current_MarJun2025,2025-03-18,1.0687499999999999
current_MarJun2025,2025-03-19,1.06375
current_MarJun2025,2025-03-20,0.6443749999999999
current_MarJun2025,2025-03-21,1.036875
current_MarJun2025,2025-03-22,1.2
current_MarJun2025,2025-03-23,1.263125
current_MarJun2025,2025-03-24,1.265
current_MarJun2025,2025-03-25,1.0006249999999999
current_MarJun2025,2025-03-26,1.3515624999999998
current_MarJun2025,2025-03-27,1.3271875
current_MarJun2025,2025-03-28,1.15
current_MarJun2025,2025-03-29,1.303125
current_MarJun2025,2025-03-30,1.165625
current_MarJun2025,2025-03-31,1.21875
current_MarJun2025,2025-04-01,1.226875
current_MarJun2025,2025-04-02,1.2006249999999998
current_MarJun2025,2025-04-03,1.1975
current_MarJun2025,2025-04-04,1.150625
current_MarJun2025,2025-04-05,1.115625
current_MarJun2025,2025-04-06,0.92625
current_MarJun2025,2025-04-07,0.9887499999999999
current_MarJun2025,2025-04-08,1.140625
current_MarJun2025,2025-04-09,1.259375
current_MarJun2025,2025-04-10,1.255
current_MarJun2025,2025-04-11,1.244375
current_MarJun2025,2025-04-12,1.361875
current_MarJun2025,2025-04-13,1.1099999999999999
current_MarJun2025,2025-04-14,1.224375
current_MarJun2025,2025-04-15,1.19
current_MarJun2025,2025-04-16,1.064375
current_MarJun2025,2025-04-17,1.143125
current_MarJun2025,2025-04-18,1.1256249999999999
current_MarJun2025,2025-04-19,1.110625
current_MarJun2025,2025-04-20,1.135
current_MarJun2025,2025-04-21,1.21875
current_MarJun2025,2025-04-22,1.14
current_MarJun2025,2025-04-23,1.3674999999999997
current_MarJun2025,2025-04-24,1.3718749999999997
current_MarJun2025,2025-04-25,1.275625
current_MarJun2025,2025-04-26,1.31625
current_MarJun2025,2025-04-27,1.294375
current_MarJun2025,2025-04-28,1.3006250000000001
current_MarJun2025,2025-04-29,1.33125
current_MarJun2025,2025-04-30,1.36125
current_MarJun2025,2025-05-01,1.30875
current_MarJun2025,2025-05-02,1.3525
current_MarJun2025,2025-05-03,1.29875
current_MarJun2025,2025-05-04,0.786875
current_MarJun2025,2025-05-05,0.7925
current_MarJun2025,2025-05-06,0.880625
current_MarJun2025,2025-05-07,0.848125
current_MarJun2025,2025-05-08,0.819375
current_MarJun2025,2025-05-09,0.78375
current_MarJun2025,2025-05-10,0.980625
current_MarJun2025,2025-05-11,0.9981249999999999
current_MarJun2025,2025-05-12,0.9787499999999999
current_MarJun2025,2025-05-13,1.56125
current_MarJun2025,2025-05-14,1.674375
current_MarJun2025,2025-05-15,1.63125
current_MarJun2025,2025-05-16,1.5318749999999999
current_MarJun2025,2025-05-17,1.295
current_MarJun2025,2025-05-18,1.1425
current_MarJun2025,2025-05-19,1.4775
current_MarJun2025,2025-05-20,1.4093749999999998
current_MarJun2025,2025-05-21,1.123125
current_MarJun2025,2025-05-22,1.05125
current_MarJun2025,2025-05-23,1.099375
current_MarJun2025,2025-05-24,1.141875
current_MarJun2025,2025-05-25,1.1025
current_MarJun2025,2025-05-26,1.42125
current_MarJun2025,2025-05-27,1.2887499999999998
current_MarJun2025,2025-05-28,1.0587499999999999
current_MarJun2025,2025-05-29,1.0675
current_MarJun2025,2025-05-30,1.25625
current_MarJun2025,2025-05-31,1.258125
