station,pollutant,month,auc,mean,p50,p90,max_diario,valid_hours
CE,NO2,2020-02-01,6690.200000000001,9.612356321839082,8.5,16.65,29.6,696.0
CE,NO2,2020-03-01,5200.125,6.989415322580645,6.3,12.270000000000005,21.9,744.0
CE,NO2,2020-04-01,2498.3,5.8783529411764714,4.9,10.260000000000002,22.5,425.0
CE,NO2,2020-05-01,4707.7,6.32755376344086,4.8,12.6,26.9,744.0
CE,NO2,2020-06-01,3468.175,4.968732091690545,3.8,9.630000000000006,24.6,698.0
CE,NO2,2020-07-01,2971.725,4.389549483013294,3.3,9.0,20.0,677.0
CE,NO2,2024-01-01,18081.675,24.303326612903223,21.7,41.48000000000002,92.2,744.0
CE,NO2,2024-02-01,15500.649999999998,22.271048850574708,20.1,38.849999999999994,61.6,696.0
CE,NO2,2024-03-01,12630.2,16.976075268817205,14.4,31.110000000000014,61.8,744.0
CE,NO2,2024-04-01,10450.7,14.514861111111113,11.7,26.5,60.0,720.0
CE,NO2,2024-05-01,9392.525,12.624361559139784,10.5,23.6,58.8,744.0
CE,NO2,2024-06-01,8284.925,11.506840277777776,9.149999999999999,22.3,48.7,720.0
CE,NO2,2024-07-01,8495.5,12.188665710186514,11.0,20.1,50.5,697.0
CE,NO2,2025-01-01,17197.149999999998,23.114448924731178,22.3,36.870000000000005,61.8,744.0
CE,NO2,2025-02-01,17685.950000000004,26.318377976190483,23.799999999999997,43.68,96.6,672.0
CE,NO2,2025-03-01,14342.85,19.278024193548386,16.25,35.98000000000002,61.0,744.0
CE,NO2,2025-04-01,10082.65,14.003680555555555,11.350000000000001,26.91,59.3,720.0
CE,NO2,2025-05-01,10291.8,13.833064516129031,11.55,25.3,74.2,744.0
CE,NO2,2025-06-01,5362.675000000001,7.448159722222224,5.9,15.4,28.2,720.0
CE,NOX_final,2020-01-01,15081.4,20.27069892473118,15.05,41.210000000000015,102.2,744.0
CE,NOX_final,2020-02-01,11936.2,17.14971264367816,13.5,31.299999999999997,76.8,696.0
CE,NOX_final,2020-03-01,8390.45,11.277486559139787,9.149999999999999,20.0,68.0,744.0
CE,NOX_final,2020-04-01,4509.95,6.343108298171589,5.7,13.25,33.9,711.0
CE,NOX_final,2020-05-01,6497.25,8.732862903225806,6.6,16.270000000000003,41.4,744.0
CE,NOX_final,2020-06-01,5526.975,7.676354166666667,5.5,15.71,67.1,720.0
CE,NOX_final,2020-07-01,4590.700000000001,6.780945347119647,4.8,14.2,25.5,677.0
CE,NOX_final,2024-01-01,32601.15,43.81875,33.05,88.54,362.4,744.0
CE,NOX_final,2024-02-01,24295.4,34.90718390804598,27.0,68.30000000000001,177.6,696.0
CE,NOX_final,2024-03-01,19664.300000000003,26.430510752688175,19.5,51.57,122.89999999999999,744.0
CE,NOX_final,2024-04-01,14700.6,20.4175,15.399999999999999,40.31,85.4,720.0
CE,NOX_final,2024-05-01,12699.075,17.06864919354839,13.45,30.8,91.69999999999999,744.0
CE,NOX_final,2024-06-01,11566.324999999999,16.064340277777777,12.0,31.42,80.5,720.0
CE,NOX_final,2024-07-01,12111.100000000002,17.37604017216643,14.1,31.2,63.3,697.0
CE,NOX_final,2025-01-01,27919.650000000005,37.526411290322585,32.3,68.9,181.5,744.0
CE,NOX_final,2025-02-01,28450.600000000002,42.337202380952384,35.150000000000006,77.25999999999999,226.8,672.0
CE,NOX_final,2025-03-01,21298.75,28.627352150537636,21.2,54.81000000000002,191.55,744.0
CE,NOX_final,2025-04-01,14051.7,19.51625,15.3,37.1,86.0,720.0
CE,NOX_final,2025-05-01,13833.3,18.593145161290323,15.0,34.77,89.9,744.0
CE,NOX_final,2025-06-01,8210.925,11.404062499999998,8.7,24.020000000000003,48.8,720.0
CE,O3,2020-01-01,17645.5,23.71706989247312,21.0,47.0,99.0,744.0
CE,O3,2020-02-01,18342.5,26.354166666666668,21.0,54.5,98.0,696.0
CE,O3,2020-03-01,23681.25,31.829637096774192,27.0,58.0,111.0,744.0
CE,O3,2020-04-01,29023.25,40.310069444444444,39.0,66.0,139.0,720.0
CE,O3,2020-05-01,34821.0,46.80241935483871,46.0,71.0,140.0,744.0
CE,O3,2020-06-01,25254.5,36.181232091690546,33.0,67.0,110.0,698.0
CE,O3,2020-07-01,12331.5,30.59925558312655,30.0,55.0,90.0,403.0
CE,O3,2024-01-01,18161.25,25.61530324400564,22.0,46.0,76.0,709.0
CE,O3,2024-02-01,22809.5,34.14595808383233,32.0,58.30000000000007,157.0,668.0
CE,O3,2024-03-01,28518.0,38.33064516129032,36.5,69.0,116.0,744.0
CE,O3,2024-04-01,28685.5,39.84097222222222,38.0,66.0,120.0,720.0
CE,O3,2024-05-01,31129.75,44.85554755043228,39.0,80.70000000000005,138.0,694.0
CE,O3,2024-06-01,20351.5,29.753654970760234,24.0,54.0,125.0,684.0
CE,O3,2024-07-01,17382.0,24.938307030129124,20.0,52.0,103.0,697.0
CE,O3,2025-01-01,15248.5,21.0034435261708,18.0,41.0,86.0,726.0
CE,O3,2025-02-01,16440.0,24.759036144578314,15.0,58.0,116.0,664.0
CE,O3,2025-03-01,24879.5,35.19024045261669,37.0,63.39999999999998,122.0,707.0
CE,O3,2025-04-01,26841.5,37.27986111111111,33.0,67.0,111.0,720.0
CE,O3,2025-05-01,28097.0,37.76478494623656,32.0,71.0,166.0,744.0
CE,O3,2025-06-01,21344.5,29.645138888888887,27.0,49.10000000000002,101.0,720.0
NE,PM2.5,2020-01-01,17806.52,23.933494623655914,16.41,53.20300000000001,107.55,744.0
NE,PM2.5,2020-02-01,15121.8875,21.947587082728592,18.13,37.554,157.01,689.0
NE,PM2.5,2020-03-01,15092.404999999999,20.28549059139785,19.314999999999998,32.69,51.16,744.0
NE,PM2.5,2020-04-01,16052.72,22.295444444444442,19.585,41.844,61.82,720.0
NE,PM2.5,2020-05-01,15116.6625,20.34544078061911,18.53,34.360000000000014,62.6,743.0
NE,PM2.5,2020-06-01,5233.445,13.628763020833333,12.95,20.108,39.03,384.0
NE,PM2.5,2020-07-01,11986.39,18.935845181674566,18.73,29.404000000000003,71.39,633.0
NE,PM2.5,2024-01-01,22519.739999999998,30.26846774193548,19.0,58.0,999.0,744.0
NE,PM2.5,2024-02-01,15784.25,22.67852011494253,20.845,40.0,96.0,696.0
NE,PM2.5,2024-03-01,14480.945,19.463635752688173,18.0,34.0,70.0,744.0
NE,PM2.5,2024-04-01,15448.810000000001,21.456680555555558,19.1775,36.0,74.0,720.0
NE,PM2.5,2024-05-01,25260.045000000002,34.04318733153639,34.0,50.0,64.0,742.0
NE,PM2.5,2024-06-01,10377.9275,22.127777185501067,18.38,44.0,59.0,469.0
NE,PM2.5,2024-07-01,14481.91,20.807341954022988,19.615000000000002,32.355000000000004,49.67,696.0
NE,PM2.5,2025-01-01,18150.085,24.395275537634408,17.884999999999998,50.15600000000001,340.25,744.0
NE,PM2.5,2025-02-01,15823.035,27.42293760831889,24.84,46.623999999999995,86.53,577.0
NE,PM2.5,2025-03-01,17059.660000000003,22.929650537634412,20.119999999999997,39.252,222.99,744.0
NE,PM2.5,2025-04-01,13446.585,18.88565308988764,18.085,30.791999999999994,51.8,712.0
NE,PM2.5,2025-05-01,15033.420000000002,20.735751724137934,19.68,33.728,63.56,725.0
NE,PM2.5,2025-06-01,8950.5225,12.553327489481065,10.79,22.734000000000005,37.0,713.0
