date,aqi,category,aqi_ma7
2020-07-20,70.0,Moderate,79.14285714285714
2020-07-21,64.0,Moderate,77.71428571428571
2020-07-22,58.0,Moderate,74.0
2020-07-23,42.0,Good,68.57142857142857
2020-07-24,53.0,Moderate,63.714285714285715
2020-07-25,47.0,Good,59.142857142857146
2020-07-26,43.0,Good,53.857142857142854
2020-07-27,52.0,Moderate,51.285714285714285
2020-07-28,52.0,Moderate,49.57142857142857
2020-07-29,46.0,Good,47.857142857142854
2020-07-30,30.0,Good,46.142857142857146
2024-01-01,234.0,Very Unhealthy,72.0
2024-01-02,67.0,Moderate,74.85714285714286
2024-01-03,56.0,Moderate,76.71428571428571
2024-01-04,65.0,Moderate,78.57142857142857
2024-01-05,55.0,Moderate,79.0
2024-01-06,100.0,Moderate,86.71428571428571
2024-01-07,75.0,Moderate,93.14285714285714
2024-01-08,68.0,Moderate,69.42857142857143
2024-01-09,64.0,Moderate,69.0
2024-01-10,125.0,USG,78.85714285714286
2024-01-11,147.0,USG,90.57142857142857
2024-01-12,133.0,USG,101.71428571428571
2024-01-13,95.0,Moderate,101.0
2024-01-14,116.0,USG,106.85714285714286
2024-01-15,67.0,Moderate,106.71428571428571
2024-01-16,61.0,Moderate,106.28571428571429
2024-01-17,59.0,Moderate,96.85714285714286
2024-01-18,155.0,Unhealthy,98.0
2024-01-19,115.0,USG,95.42857142857143
2024-01-20,67.0,Moderate,91.42857142857143
2024-01-21,68.0,Moderate,84.57142857142857
2024-01-22,106.0,USG,90.14285714285714
2024-01-23,113.0,USG,97.57142857142857
2024-01-24,60.0,Moderate,97.71428571428571
2024-01-25,47.0,Good,82.28571428571429
2024-01-26,61.0,Moderate,74.57142857142857
2024-01-27,45.0,Good,71.42857142857143
2024-01-28,58.0,Moderate,70.0
2024-01-29,44.0,Good,61.142857142857146
2024-01-30,57.0,Moderate,53.142857142857146
2024-01-31,68.0,Moderate,54.285714285714285
2024-02-01,68.0,Moderate,57.285714285714285
2024-02-02,84.0,Moderate,60.57142857142857
2024-02-03,64.0,Moderate,63.285714285714285
2024-02-04,54.0,Moderate,62.714285714285715
2024-02-05,46.0,Good,63.0
2024-02-06,47.0,Good,61.57142857142857
