station_code,pollutant,period,rows,missing_pct,n_gaps_short,n_gaps_med,n_gaps_long,max_gap_h,mean_gap_h,coverage,decision,method,coverage_bucket,safeguards,neighbors_hint
NO2,NO2,transition,8760.0,2.7054794520547945,144.0,4.0,0.0,29.0,1.601351351351351,97.2945205479452,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|NE|NO
NO2,NO2,current,21888.0,15.186403508771928,178.0,12.0,2.0,2462.0,17.3125,84.81359649122807,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
SE,NO2,pandemic,17544.0,60.698814409484726,62.0,12.0,3.0,10239.0,138.2987012987013,39.30118559051528,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|NE|NO
SE,NO2,transition,8760.0,4.32648401826484,229.0,1.0,0.0,11.0,1.6478260869565218,95.67351598173516,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|NE|SO
SE,NO2,current,21888.0,1.274671052631579,111.0,10.0,0.0,28.0,2.3057851239669422,98.72532894736842,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|NE|SO
SO,NO2,pandemic,17544.0,26.835385316917463,131.0,79.0,20.0,712.0,20.469565217391303,73.16461468308253,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO2|NO|SE
SO,NO2,transition,8760.0,2.682648401826484,84.0,4.0,1.0,49.0,2.640449438202247,97.31735159817352,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|NO2|SE
SO,NO2,current,21888.0,3.897112573099415,129.0,15.0,2.0,197.0,5.842465753424658,96.10288742690058,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",CE|NE|SE
CE,CO,pandemic,17544.0,4.480164158686731,66.0,8.0,2.0,503.0,10.342105263157896,95.51983584131328,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|NE
CE,CO,transition,8760.0,1.678082191780822,43.0,5.0,0.0,23.0,3.0625,98.32191780821918,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|SO
CE,CO,current,21888.0,2.4077119883040936,71.0,18.0,1.0,64.0,5.855555555555555,97.5922880116959,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|NO2|NO
NE,CO,pandemic,17544.0,25.33059735522116,92.0,11.0,3.0,3962.0,41.9245283018868,74.66940264477884,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO|CE|SE
NE,CO,transition,8760.0,1.552511415525114,74.0,2.0,0.0,30.0,1.7894736842105263,98.44748858447488,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NE,CO,current,21888.0,6.368786549707603,75.0,16.0,2.0,720.0,14.989247311827956,93.6312134502924,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2|SE
NE2,CO,pandemic,17544.0,20.126538987688097,60.0,8.0,6.0,2568.0,47.71621621621622,79.8734610123119,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NO2
NE2,CO,transition,8760.0,1.2328767123287672,54.0,3.0,0.0,11.0,1.894736842105263,98.76712328767124,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NE2,CO,current,21888.0,18.919042397660817,103.0,26.0,8.0,1333.0,30.22627737226277,81.08095760233918,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
NO,CO,pandemic,17544.0,57.10214318285453,49.0,12.0,10.0,7190.0,141.09859154929578,42.89785681714547,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE|SO|SE
